job_id,job_title,company,location,country,experience_min,experience_max,salary_min,salary_max,currency,employment_type,work_mode,industry,job_description,skills,posted_date,source
JOB0011,AI Engineer,Capgemini India,Gurugram,India,3,5,14.8,21.8,INR_LPA,Full-time,Onsite,EdTech,"Capgemini India is hiring a AI Engineer with 3-5 years of experience. Required skills: NLP, Docker, Python, AWS, TensorFlow, Artificial Intelligence, PyTorch. Knowledge of Machine Learning, REST APIs is a strong plus. You will work on real business problems in the EdTech domain.",NLP; Docker; Python; AWS; TensorFlow; Artificial Intelligence; PyTorch,2026-05-06,careerpulse_demo
JOB0012,Business Analyst,Cognizant Insights,Bengaluru,India,4,7,10.9,19.5,INR_LPA,Contract,Onsite,Consulting,"Join Cognizant Insights as a Business Analyst! We need someone proficient in Excel, Data Visualization, Statistics, Power BI, Tableau, SQL. This role is onsite and based in Bengaluru. Prior exposure to Python, REST APIs preferred.",Excel; Data Visualization; Statistics; Power BI; Tableau; SQL,2026-05-08,careerpulse_demo
JOB0013,Data Analyst,Sonata Software,Bengaluru,India,1,3,5.6,11.0,INR_LPA,Full-time,Onsite,Healthcare Tech,"Join Sonata Software as a Data Analyst! We need someone proficient in Pandas, Python, Tableau, Power BI, Excel, Data Visualization. This role is onsite and based in Bengaluru. Prior exposure to Docker, NLP preferred.",Pandas; Python; Tableau; Power BI; Excel; Data Visualization,2026-05-10,careerpulse_demo
JOB0014,Data Scientist,Wipro Analytics,Noida,India,1,3,8.1,13.5,INR_LPA,Full-time,Remote,Healthcare Tech,"Wipro Analytics is hiring a Data Scientist with 1-3 years of experience. Required skills: NumPy, Power BI, Statistics, SQL, Python, Machine Learning. Knowledge of Excel, PostgreSQL is a strong plus. You will work on real business problems in the Healthcare Tech domain.",NumPy; Power BI; Statistics; SQL; Python; Machine Learning,2026-05-16,careerpulse_demo
JOB0015,Business Analyst,TCS Digital,Gurugram,India,1,3,5.3,10.7,INR_LPA,Full-time,Remote,Retail Tech,"We are looking for a Business Analyst to join our growing analytics team in Gurugram. The ideal candidate has experience with Power BI, Business Intelligence, SQL, Tableau. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",Power BI; Business Intelligence; SQL; Tableau,2026-05-16,careerpulse_demo
JOB0016,ML Engineer,Tata Elxsi,Remote,India,1,3,8.1,13.5,INR_LPA,Internship,Hybrid,SaaS,"Join Tata Elxsi as a ML Engineer! We need someone proficient in Scikit-learn, PyTorch, Machine Learning, Docker, Python. This role is hybrid and based in Remote. Prior exposure to Tableau, Excel preferred.",Scikit-learn; PyTorch; Machine Learning; Docker; Python,2026-05-16,careerpulse_demo
JOB0017,Software Engineer,L&T Infotech,Hyderabad,India,0,2,4.4,9.0,INR_LPA,Full-time,Hybrid,Healthcare Tech,"L&T Infotech is hiring a Software Engineer with 0-2 years of experience. Required skills: Python, FastAPI, Git, Java, Docker, REST APIs, SQL. Knowledge of PostgreSQL, ETL is a strong plus. You will work on real business problems in the Healthcare Tech domain.",Python; FastAPI; Git; Java; Docker; REST APIs; SQL,2026-05-21,careerpulse_demo
JOB0018,Machine Learning Engineer,InfosysNext,Hyderabad,India,3,5,14.3,21.3,INR_LPA,Full-time,Onsite,SaaS,"InfosysNext is hiring a Machine Learning Engineer with 3-5 years of experience. Required skills: Scikit-learn, SQL, AWS, Docker, TensorFlow, Python. Knowledge of Pandas, Kafka is a strong plus. You will work on real business problems in the SaaS domain.",Scikit-learn; SQL; AWS; Docker; TensorFlow; Python,2026-05-23,careerpulse_demo
JOB0019,BI Analyst,Cognizant Insights,Pune,India,4,7,10.9,19.5,INR_LPA,Full-time,Remote,FinTech,"Exciting opportunity for a BI Analyst at Cognizant Insights. Must have hands-on experience with Data Visualization, Statistics, Power BI, Excel, Tableau, ETL, SQL. Familiarity with NumPy, REST APIs is beneficial. 4-7 years experience required.",Data Visualization; Statistics; Power BI; Excel; Tableau; ETL; SQL,2026-05-28,careerpulse_demo
JOB0020,Data Scientist,Freshworks,Remote,India,4,7,16.6,25.2,INR_LPA,Full-time,Onsite,EdTech,"Join Freshworks as a Data Scientist! We need someone proficient in Pandas, SQL, TensorFlow, Machine Learning, Scikit-learn, NumPy. This role is onsite and based in Remote. Prior exposure to Python, FastAPI preferred.",Pandas; SQL; TensorFlow; Machine Learning; Scikit-learn; NumPy,2026-05-31,careerpulse_demo
JOB0021,Business Analyst,Zensar Tech,Hyderabad,India,1,3,5.3,10.7,INR_LPA,Full-time,Remote,SaaS,"Join Zensar Tech as a Business Analyst! We need someone proficient in Data Visualization, Statistics, SQL, Power BI, Excel, Tableau. This role is remote and based in Hyderabad. Prior exposure to Python, FastAPI preferred.",Data Visualization; Statistics; SQL; Power BI; Excel; Tableau,2026-06-07,careerpulse_demo
JOB0022,Python Developer,PhonePe,Kolkata,India,1,3,6.2,11.6,INR_LPA,Full-time,Hybrid,EdTech,"PhonePe is hiring a Python Developer with 1-3 years of experience. Required skills: REST APIs, Git, Docker, PostgreSQL. Knowledge of Machine Learning, Excel is a strong plus. You will work on real business problems in the EdTech domain.",REST APIs; Git; Docker; PostgreSQL,2026-06-07,careerpulse_demo
JOB0023,AI Engineer,Accenture Data,Hyderabad,India,6,10,24.1,35.1,INR_LPA,Full-time,Onsite,E-commerce,"Exciting opportunity for a AI Engineer at Accenture Data. Must have hands-on experience with AWS, TensorFlow, NLP, PyTorch. Familiarity with Kafka, Python is beneficial. 6-10 years experience required.",AWS; TensorFlow; NLP; PyTorch,2026-06-08,careerpulse_demo
JOB0024,Software Engineer,Accenture Data,Bengaluru,India,5,8,16.5,25.9,INR_LPA,Contract,Onsite,IT Services,"Accenture Data is hiring a Software Engineer with 5-8 years of experience. Required skills: SQL, FastAPI, REST APIs, Docker, Git. Knowledge of Scikit-learn, TensorFlow is a strong plus. You will work on real business problems in the IT Services domain.",SQL; FastAPI; REST APIs; Docker; Git,2026-06-09,careerpulse_demo
JOB0025,Data Analyst,PhonePe,Bengaluru,India,4,7,11.5,20.1,INR_LPA,Full-time,Hybrid,Logistics Tech,"Exciting opportunity for a Data Analyst at PhonePe. Must have hands-on experience with PostgreSQL, Data Visualization, Statistics, Pandas, Python, Excel, Power BI. Familiarity with Tableau, AWS is beneficial. 4-7 years experience required.",PostgreSQL; Data Visualization; Statistics; Pandas; Python; Excel; Power BI,2026-06-10,careerpulse_demo
JOB0026,AI Engineer,Tata Elxsi,Hyderabad,India,6,10,24.1,35.1,INR_LPA,Full-time,Hybrid,Healthcare Tech,"Join Tata Elxsi as a AI Engineer! We need someone proficient in PyTorch, TensorFlow, Python, Artificial Intelligence, Machine Learning. This role is hybrid and based in Hyderabad. Prior exposure to AWS, FastAPI preferred.",PyTorch; TensorFlow; Python; Artificial Intelligence; Machine Learning,2026-06-11,careerpulse_demo
JOB0027,Business Analyst,Wipro Analytics,Bengaluru,India,1,3,5.3,10.7,INR_LPA,Full-time,Hybrid,E-commerce,"We are looking for a Business Analyst to join our growing analytics team in Bengaluru. The ideal candidate has experience with SQL, Data Visualization, Tableau, Power BI, Statistics. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",SQL; Data Visualization; Tableau; Power BI; Statistics,2026-06-17,careerpulse_demo
JOB0028,Machine Learning Engineer,Mphasis,Noida,India,0,1,5.4,9.2,INR_LPA,Contract,Hybrid,SaaS,"Mphasis is hiring a Machine Learning Engineer with 0-1 years of experience. Required skills: MLOps, Python, TensorFlow, SQL, PyTorch, Docker, AWS. Knowledge of Git, Statistics is a strong plus. You will work on real business problems in the SaaS domain.",MLOps; Python; TensorFlow; SQL; PyTorch; Docker; AWS,2026-06-19,careerpulse_demo
JOB0029,Python Developer,Accenture Data,Chennai,India,4,7,12.8,21.4,INR_LPA,Full-time,Remote,SaaS,"Exciting opportunity for a Python Developer at Accenture Data. Must have hands-on experience with Django, PostgreSQL, SQL, FastAPI, Python, REST APIs, Docker. Familiarity with Power BI, Excel is beneficial. 4-7 years experience required.",Django; PostgreSQL; SQL; FastAPI; Python; REST APIs; Docker,2026-06-19,careerpulse_demo
JOB0030,Data Engineer,Hexaware,Kolkata,India,4,7,15.4,24.0,INR_LPA,Full-time,Remote,E-commerce,"Join Hexaware as a Data Engineer! We need someone proficient in Docker, ETL, Kafka, PostgreSQL, Airflow. This role is remote and based in Kolkata. Prior exposure to PyTorch, FastAPI preferred.",Docker; ETL; Kafka; PostgreSQL; Airflow,2026-06-21,careerpulse_demo
JOB0031,Data Analyst,CRED,Pune,India,2,4,7.6,13.8,INR_LPA,Full-time,Remote,Travel Tech,"CRED is hiring a Data Analyst with 2-4 years of experience. Required skills: SQL, PostgreSQL, Excel, Data Visualization. Knowledge of NumPy, Docker is a strong plus. You will work on real business problems in the Travel Tech domain.",SQL; PostgreSQL; Excel; Data Visualization,2026-06-23,careerpulse_demo
JOB0032,Data Engineer,CRED,Mumbai,India,3,5,12.7,19.7,INR_LPA,Contract,Remote,Retail Tech,"Exciting opportunity for a Data Engineer at CRED. Must have hands-on experience with Spark, SQL, Big Data, Docker, Python, AWS. Familiarity with NumPy, TensorFlow is beneficial. 3-5 years experience required.",Spark; SQL; Big Data; Docker; Python; AWS,2026-06-24,careerpulse_demo
JOB0033,Software Engineer,MakeMyTrip,Hyderabad,India,2,4,9.2,15.4,INR_LPA,Full-time,Hybrid,FinTech,"Join MakeMyTrip as a Software Engineer! We need someone proficient in Docker, FastAPI, REST APIs, AWS. This role is hybrid and based in Hyderabad. Prior exposure to Data Visualization, Machine Learning preferred.",Docker; FastAPI; REST APIs; AWS,2026-06-24,careerpulse_demo
JOB0034,Business Analyst,Razorpay,Gurugram,India,0,1,3.4,7.2,INR_LPA,Full-time,Remote,FinTech,"Join Razorpay as a Business Analyst! We need someone proficient in Business Intelligence, Data Visualization, SQL, Tableau, Excel, Power BI, Statistics. This role is remote and based in Gurugram. Prior exposure to Python, Spark preferred.",Business Intelligence; Data Visualization; SQL; Tableau; Excel; Power BI; Statistics,2026-06-25,careerpulse_demo
JOB0035,BI Analyst,L&T Infotech,Remote,India,3,5,9.0,16.0,INR_LPA,Full-time,Hybrid,Logistics Tech,"Exciting opportunity for a BI Analyst at L&T Infotech. Must have hands-on experience with Statistics, SQL, Power BI, Tableau, ETL, Data Visualization. Familiarity with AWS, Artificial Intelligence is beneficial. 3-5 years experience required.",Statistics; SQL; Power BI; Tableau; ETL; Data Visualization,2026-06-30,careerpulse_demo
JOB0036,ML Engineer,InfosysNext,Kolkata,India,4,7,16.6,25.2,INR_LPA,Full-time,Onsite,Consulting,"InfosysNext is hiring a ML Engineer with 4-7 years of experience. Required skills: SQL, Scikit-learn, AWS, PyTorch, Python, MLOps. Knowledge of PostgreSQL, TensorFlow is a strong plus. You will work on real business problems in the Consulting domain.",SQL; Scikit-learn; AWS; PyTorch; Python; MLOps,2026-07-05,careerpulse_demo
JOB0037,Software Engineer,CRED,Remote,India,6,10,18.9,29.9,INR_LPA,Full-time,Hybrid,EdTech,"Join CRED as a Software Engineer! We need someone proficient in Python, AWS, SQL, Java, Git, REST APIs, FastAPI. This role is hybrid and based in Remote. Prior exposure to Kafka, Excel preferred.",Python; AWS; SQL; Java; Git; REST APIs; FastAPI,2026-07-06,careerpulse_demo
JOB0038,Python Developer,Zoho,Remote,India,4,7,,,INR_LPA,Full-time,Hybrid,Consulting,"Join Zoho as a Python Developer! We need someone proficient in Git, Django, PostgreSQL, Docker, FastAPI, Python. This role is hybrid and based in Remote. Prior exposure to SQL, Pandas preferred.",Git; Django; PostgreSQL; Docker; FastAPI; Python,2026-07-08,careerpulse_demo
JOB0039,Data Analyst,Ola Cabs,Remote,India,6,10,15.5,26.5,INR_LPA,Full-time,Hybrid,E-commerce,"Join Ola Cabs as a Data Analyst! We need someone proficient in PostgreSQL, Pandas, SQL, Excel, Power BI, Tableau. This role is hybrid and based in Remote. Prior exposure to AWS, Spark preferred.",PostgreSQL; Pandas; SQL; Excel; Power BI; Tableau,2026-07-10,careerpulse_demo
JOB0040,Data Scientist,MakeMyTrip,Remote,India,3,5,13.8,20.8,INR_LPA,Full-time,Onsite,E-commerce,"Join MakeMyTrip as a Data Scientist! We need someone proficient in Power BI, Pandas, Python, SQL, NumPy. This role is onsite and based in Remote. Prior exposure to Docker, PyTorch preferred.",Power BI; Pandas; Python; SQL; NumPy,2026-07-11,careerpulse_demo
JOB0041,Data Engineer,TCS Digital,Chennai,India,5,8,18.0,27.4,INR_LPA,Full-time,Onsite,Logistics Tech,"Exciting opportunity for a Data Engineer at TCS Digital. Must have hands-on experience with SQL, Python, Spark, Big Data, AWS, Docker, Kafka. Familiarity with ETL, Excel is beneficial. 5-8 years experience required.",SQL; Python; Spark; Big Data; AWS; Docker; Kafka,2026-07-14,careerpulse_demo
JOB0042,BI Analyst,PolicyBazaar,Ahmedabad,India,6,10,14.6,25.6,INR_LPA,Full-time,Remote,EdTech,"PolicyBazaar is hiring a BI Analyst with 6-10 years of experience. Required skills: Tableau, Data Visualization, Excel, Statistics, ETL, Power BI, SQL. Knowledge of Python, AWS is a strong plus. You will work on real business problems in the EdTech domain.",Tableau; Data Visualization; Excel; Statistics; ETL; Power BI; SQL,2026-07-15,careerpulse_demo
JOB0043,AI Engineer,Paytm,Mumbai,India,0,2,5.6,10.2,INR_LPA,Full-time,Hybrid,E-commerce,"Paytm is hiring a AI Engineer with 0-2 years of experience. Required skills: Python, TensorFlow, Docker, PyTorch, NLP. Knowledge of Airflow, Scikit-learn is a strong plus. You will work on real business problems in the E-commerce domain.",Python; TensorFlow; Docker; PyTorch; NLP,2026-07-16,careerpulse_demo
JOB0044,AI Engineer,MakeMyTrip,Chennai,India,3,5,14.8,21.8,INR_LPA,Full-time,Onsite,Logistics Tech,"MakeMyTrip is hiring a AI Engineer with 3-5 years of experience. Required skills: Docker, Python, PyTorch, Machine Learning, NLP. Knowledge of Excel, Spark is a strong plus. You will work on real business problems in the Logistics Tech domain.",Docker; Python; PyTorch; Machine Learning; NLP,2026-07-17,careerpulse_demo
JOB0045,Data Analyst,TCS Digital,Bengaluru,India,3,5,9.5,16.5,INR_LPA,Full-time,Hybrid,Healthcare Tech,"Exciting opportunity for a Data Analyst at TCS Digital. Must have hands-on experience with Excel, Statistics, Tableau, Power BI, Python, Data Visualization, Pandas. Familiarity with Docker, AWS is beneficial. 3-5 years experience required.",Excel; Statistics; Tableau; Power BI; Python; Data Visualization; Pandas,2026-07-20,careerpulse_demo
JOB0046,Data Analyst,PolicyBazaar,Pune,India,3,5,9.5,16.5,INR_LPA,Full-time,Hybrid,SaaS,"We are looking for a Data Analyst to join our growing analytics team in Pune. The ideal candidate has experience with Excel, Python, Tableau, Pandas. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",Excel; Python; Tableau; Pandas,2026-07-21,careerpulse_demo
JOB0047,Data Engineer,CRED,Remote,India,5,8,18.0,27.4,INR_LPA,Contract,Onsite,Logistics Tech,"Join CRED as a Data Engineer! We need someone proficient in SQL, Docker, ETL, Airflow, Spark, Kafka, Python. This role is onsite and based in Remote. Prior exposure to Data Visualization, Pandas preferred.",SQL; Docker; ETL; Airflow; Spark; Kafka; Python,2026-07-22,careerpulse_demo
JOB0048,Software Engineer,MakeMyTrip,Kolkata,India,0,1,4.4,8.2,INR_LPA,Full-time,Remote,Healthcare Tech,"Exciting opportunity for a Software Engineer at MakeMyTrip. Must have hands-on experience with Java, SQL, FastAPI, REST APIs, Python, AWS, Git. Familiarity with Excel, Scikit-learn is beneficial. 0-1 years experience required.",Java; SQL; FastAPI; REST APIs; Python; AWS; Git,2026-07-23,careerpulse_demo
JOB0049,Software Engineer,TCS Digital,Hyderabad,India,6,10,18.9,29.9,INR_LPA,Full-time,Remote,Travel Tech,"Exciting opportunity for a Software Engineer at TCS Digital. Must have hands-on experience with Git, SQL, Docker, Java. Familiarity with PyTorch, Data Visualization is beneficial. 6-10 years experience required.",Git; SQL; Docker; Java,2026-07-25,careerpulse_demo
JOB0050,Data Analyst,InfosysNext,Ahmedabad,India,0,1,3.6,7.4,INR_LPA,Full-time,Remote,EdTech,"Join InfosysNext as a Data Analyst! We need someone proficient in Excel, Python, Data Visualization, SQL, Statistics, Tableau, Power BI. This role is remote and based in Ahmedabad. Prior exposure to Airflow, Scikit-learn preferred.",Excel; Python; Data Visualization; SQL; Statistics; Tableau; Power BI,2026-07-28,careerpulse_demo
JOB0051,Business Analyst,MakeMyTrip,Chennai,India,2,4,7.1,13.3,INR_LPA,Contract,Remote,SaaS,"Exciting opportunity for a Business Analyst at MakeMyTrip. Must have hands-on experience with Statistics, Excel, Data Visualization, Tableau, Power BI, SQL, Business Intelligence. Familiarity with Kafka, Python is beneficial. 2-4 years experience required.",Statistics; Excel; Data Visualization; Tableau; Power BI; SQL; Business Intelligence,2026-07-28,careerpulse_demo
JOB0052,ML Engineer,Quantiphi,Remote,India,3,5,13.8,20.8,INR_LPA,Contract,Remote,Healthcare Tech,"Quantiphi is hiring a ML Engineer with 3-5 years of experience. Required skills: Scikit-learn, Docker, AWS, PyTorch, MLOps, Machine Learning, SQL. Knowledge of Java, Big Data is a strong plus. You will work on real business problems in the Healthcare Tech domain.",Scikit-learn; Docker; AWS; PyTorch; MLOps; Machine Learning; SQL,2026-07-29,careerpulse_demo
JOB0053,Machine Learning Engineer,Byju's,Noida,India,0,1,5.4,9.2,INR_LPA,Contract,Remote,EdTech,"Join Byju's as a Machine Learning Engineer! We need someone proficient in MLOps, SQL, PyTorch, AWS, Machine Learning, Scikit-learn. This role is remote and based in Noida. Prior exposure to NumPy, Python preferred.",MLOps; SQL; PyTorch; AWS; Machine Learning; Scikit-learn,2026-07-29,careerpulse_demo
JOB0054,Data Analyst,Hexaware,Kolkata,India,0,1,3.6,7.4,INR_LPA,Full-time,Remote,FinTech,"Exciting opportunity for a Data Analyst at Hexaware. Must have hands-on experience with Data Visualization, Power BI, SQL, Python, Statistics. Familiarity with Docker, Git is beneficial. 0-1 years experience required.",Data Visualization; Power BI; SQL; Python; Statistics,2026-07-30,careerpulse_demo
JOB0055,Data Analyst,Hexaware,Gurugram,India,6,10,15.5,26.5,INR_LPA,Full-time,Remote,Travel Tech,"We are looking for a Data Analyst to join our growing analytics team in Gurugram. The ideal candidate has experience with Excel, Python, Tableau, Data Visualization. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",Excel; Python; Tableau; Data Visualization,2026-08-04,careerpulse_demo
JOB0056,Software Engineer,Persistent Systems,Mumbai,India,0,1,4.4,8.2,INR_LPA,Full-time,Remote,Logistics Tech,"Exciting opportunity for a Software Engineer at Persistent Systems. Must have hands-on experience with REST APIs, FastAPI, Python, SQL. Familiarity with Big Data, Machine Learning is beneficial. 0-1 years experience required.",REST APIs; FastAPI; Python; SQL,2026-08-05,careerpulse_demo
JOB0057,Data Engineer,Accenture Data,Remote,India,1,3,7.4,12.8,INR_LPA,Full-time,Onsite,SaaS,"Exciting opportunity for a Data Engineer at Accenture Data. Must have hands-on experience with SQL, PostgreSQL, Airflow, Docker, AWS. Familiarity with Power BI, Statistics is beneficial. 1-3 years experience required.",SQL; PostgreSQL; Airflow; Docker; AWS,2026-08-08,careerpulse_demo
JOB0058,AI Engineer,PhonePe,Chennai,India,3,5,14.8,21.8,INR_LPA,Contract,Remote,IT Services,"Exciting opportunity for a AI Engineer at PhonePe. Must have hands-on experience with Machine Learning, TensorFlow, Artificial Intelligence, PyTorch, NLP. Familiarity with REST APIs, Scikit-learn is beneficial. 3-5 years experience required.",Machine Learning; TensorFlow; Artificial Intelligence; PyTorch; NLP,2026-08-09,careerpulse_demo
JOB0059,AI Engineer,Capgemini India,Noida,India,4,7,17.9,26.5,INR_LPA,Full-time,Remote,Logistics Tech,"We are looking for a AI Engineer to join our growing analytics team in Noida. The ideal candidate has experience with PyTorch, Python, NLP, TensorFlow, Artificial Intelligence, Docker. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",PyTorch; Python; NLP; TensorFlow; Artificial Intelligence; Docker,2026-08-10,careerpulse_demo
JOB0060,BI Analyst,Ola Cabs,Kolkata,India,4,7,10.9,19.5,INR_LPA,Full-time,Onsite,Healthcare Tech,"We are looking for a BI Analyst to join our growing analytics team in Kolkata. The ideal candidate has experience with ETL, SQL, Data Visualization, Tableau, Excel. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",ETL; SQL; Data Visualization; Tableau; Excel,2026-08-13,careerpulse_demo
JOB0061,AI Engineer,L&T Infotech,Kolkata,India,1,3,8.7,14.1,INR_LPA,Full-time,Hybrid,IT Services,"L&T Infotech is hiring a AI Engineer with 1-3 years of experience. Required skills: PyTorch, Artificial Intelligence, NLP, TensorFlow. Knowledge of AWS, Docker is a strong plus. You will work on real business problems in the IT Services domain.",PyTorch; Artificial Intelligence; NLP; TensorFlow,2026-08-14,careerpulse_demo
JOB0062,Business Analyst,Sonata Software,Gurugram,India,1,3,5.3,10.7,INR_LPA,Full-time,Remote,Travel Tech,"Sonata Software is hiring a Business Analyst with 1-3 years of experience. Required skills: Business Intelligence, Data Visualization, Power BI, Statistics, SQL, Excel. Knowledge of Machine Learning, Tableau is a strong plus. You will work on real business problems in the Travel Tech domain.",Business Intelligence; Data Visualization; Power BI; Statistics; SQL; Excel,2026-08-14,careerpulse_demo
JOB0063,Software Engineer,Hexaware,Remote,India,0,1,4.4,8.2,INR_LPA,Full-time,Remote,Consulting,"We are looking for a Software Engineer to join our growing analytics team in Remote. The ideal candidate has experience with Java, Git, SQL, REST APIs, FastAPI, Docker. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",Java; Git; SQL; REST APIs; FastAPI; Docker,2026-08-17,careerpulse_demo
JOB0064,Machine Learning Engineer,CRED,Pune,India,4,7,17.3,25.9,INR_LPA,Contract,Hybrid,Retail Tech,"We are looking for a Machine Learning Engineer to join our growing analytics team in Pune. The ideal candidate has experience with Machine Learning, MLOps, AWS, TensorFlow, PyTorch. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",Machine Learning; MLOps; AWS; TensorFlow; PyTorch,2026-08-18,careerpulse_demo
JOB0065,Data Scientist,HCL Tech,Kolkata,India,1,3,8.1,13.5,INR_LPA,Full-time,Hybrid,FinTech,"Exciting opportunity for a Data Scientist at HCL Tech. Must have hands-on experience with Power BI, Machine Learning, Statistics, SQL, TensorFlow, Pandas, Scikit-learn. Familiarity with FastAPI, Data Visualization is beneficial. 1-3 years experience required.",Power BI; Machine Learning; Statistics; SQL; TensorFlow; Pandas; Scikit-learn,2026-08-19,careerpulse_demo
JOB0066,BI Analyst,Razorpay,Chennai,India,6,10,14.6,25.6,INR_LPA,Full-time,Onsite,IT Services,"Razorpay is hiring a BI Analyst with 6-10 years of experience. Required skills: SQL, Tableau, Power BI, ETL, Excel, Statistics, Data Visualization. Knowledge of Scikit-learn, Big Data is a strong plus. You will work on real business problems in the IT Services domain.",SQL; Tableau; Power BI; ETL; Excel; Statistics; Data Visualization,2026-08-20,careerpulse_demo
JOB0067,Data Analyst,Hexaware,Kolkata,India,0,1,3.6,7.4,INR_LPA,Full-time,Hybrid,FinTech,"Hexaware is hiring a Data Analyst with 0-1 years of experience. Required skills: Tableau, Python, Excel, Pandas. Knowledge of AWS, SQL is a strong plus. You will work on real business problems in the FinTech domain.",Tableau; Python; Excel; Pandas,2026-08-20,careerpulse_demo
JOB0068,BI Analyst,Capgemini India,Hyderabad,India,0,1,3.4,7.2,INR_LPA,Full-time,Hybrid,Consulting,"We are looking for a BI Analyst to join our growing analytics team in Hyderabad. The ideal candidate has experience with Statistics, SQL, ETL, Tableau, Power BI, Excel. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",Statistics; SQL; ETL; Tableau; Power BI; Excel,2026-08-21,careerpulse_demo
